"","track","key","key_duration","chord","chord_duration","tempo"
"1","05.TheCaptain","A minor, C major, C minor, E minor, F major, F minor, F# / Gb major","5.94430839, 141.920362812, 51.269659864, 1.48607709700002, 2.229115646, 4.45823129299998, 7.430385487","A, Ab/Eb, Ab7, Abaug, Abdim7/Gb, Am, Am7, C, C/G, Cm, Cm6, Cmaj7, D6, E, Eb6, Em, Em7, Emaj7, F, F/C, F/G, F#7, Fmaj7, G, G6","5.154829932, 0.278639455999993, 1.578956916, 0.278639456000008, 1.578956916, 12.39945578, 10.820498866, 62.508117913, 2.461315193, 3.390113379, 3.854512471, 8.82358276600001, 0.696598640000019, 1.486077098, 0.278639455999993, 19.551201816, 0.557278910999997, 1.81115646199999, 28.235464855, 3.99383219900001, 1.857596372, 2.08979591799999, 3.900952381, 24.195192744, 0.510839001999997",127.257656521739
"2","gus2006-03-29t03","A minor, Bb major, C major, C minor, C# minor, D minor, Db major, F major, G major","80.991201814, 11.145578232, 106.99755102, 0.743038548000001, 1.486077098, 3.71519274400001, 5.201269841, 0, 2.972154195","A7, Am, Am7, Amaj7, C, C/D, C/E, C6, Cmaj7, Dm7, Eaug, Em, Em7, Emaj7, F, F/G, F6, Fmaj7, G, G6","1.48607709700002, 19.504761906, 26.331428571, 1.764716553, 53.498775511, 0.510839001999997, 2.229115646, 1.25387755099999, 2.182675737, 11.28489796, 1.068117914, 5.80498866299999, 12.260136053, 0.417959183999983, 13.606893424, 4.458231293, 2.60063492100001, 18.622403627, 22.894875283, 0.464399092999997",130.064185185185
"3","guster_2007-02-23_d1t01","A minor, B major, Bb major, C major, C minor, C# minor, E major, E minor, Eb / D# minor, F major, G major, G minor, G# minor","11.88861678, 17.089886622, 5.94430839, 161.982403628, 14.117732427, 3.71519274400003, 0, 16.346848072, 2.972154195, 11.888616779, 4.458231293, 11.145578231, 3.715192743","Am, Am7, B/C#, B7, Bb7, Bdim7/A, Bm7, Bmaj7, C, C#, C#dim7/B, C6, Caug, Cm6, Cmaj7, D7/F#, E, E6, Em, F, F#/C#, F#dim7/E, Fmaj7, G","12.817414965, 24.7524716570001, 0.510839002000012, 1.904036281, 1.30031746, 3.71519274399998, 0.325079364999993, 1.021678005, 46.625668936, 1.02167800399999, 1.207437642, 28.003265307, 1.207437642, 2.27555555499998, 13.88553288, 0.696598639999991, 0.975238094999995, 1.39319727899999, 20.294240361, 29.953741495, 0.650158729999987, 1.996916099, 6.82666666699998, 22.384036282",135.405982352941
"4","guster_2009-07-31_d1t02","A minor, Ab major, Bb major, C major, C minor, C# minor, D minor, E minor, Eb major, F major, G major, G minor","33.436734694, 8.17342403599997, 7.43038548700002, 104.025396826, 49.040544217, 2.22911564599998, 5.94430839, 2.97215419599999, 7.430385487, 6.687346939, 2.972154195, 2.972154195","Am, Am7, Amaj7, Bb7/D, C, C/E, C6, Caug, Cmaj7, D, D6, D7, Dmaj7, E7, Eaug, Ebm7, Em, Em7, F, F/C, F6, Fdim7/Eb, Fm, Fmaj7, G, G7, G7/B, Gm, Gmaj7","11.749297053, 6.82666666600002, 6.54802721099999, 0.789478457999991, 39.009523808, 1.160997732, 21.223038548, 3.39011337899998, 24.102312926, 0.603718821000001, 1.43963718800001, 0.464399093000011, 0.325079365999997, 0.464399092999997, 3.993832199, 2.32199546500001, 11.795736961, 8.823582767, 18.947482994, 3.76163265300001, 1.85759637199999, 2.136235828, 2.507755102, 5.61922902399999, 20.619319729, 1.39319727900002, 0.325079365000001, 0.603718820999973, 4.36535147399999",129.056787878788
"5","guster2005-05-05t14","A minor, Bb major, C major, C minor, C# minor, D major, D minor, Db major, E major, Eb / D# minor, F major","62.415238095, 1.48607709700002, 120.372244898, 5.94430839, 4.45823129300001, 1.48607709799998, 5.201269841, 8.916462585, 0.743038547999987, 0, 27.492426304","A, A7, Ab, Ab6, Ab7, Abm, Abm7, Am, Am7, Amaj7, B, B7/D#, Bbdim7/Ab, Bbm, C, C6, Cm7, Cmaj7, E, E6, Em, Em7, Emaj7, F, Fmaj7, G, Gdim7/F, Gmaj7","8.63782312899997, 7.89478457999996, 2.739954649, 2.32199546499999, 1.25387755099999, 2.275555556, 9.334421768, 8.4985034, 2.229115646, 1.718276644, 2.69351473899999, 0.510839001999997, 5.06195011400001, 1.068117914, 56.424489795, 14.349931972, 1.71827664400001, 3.250793651, 0.882358277000002, 1.34675737000001, 15.464489795, 8.87002267600005, 0.882358276000019, 28.60698413, 18.018684808, 21.733877552, 0.278639455, 1.99691609999999",134.607807692308
"6","guster2005-05-11t06","A minor, C major, C minor, E minor, F major, G major","11.145578231, 172.38494331, 1.48607709699999, 11.888616781, 1.48607709700001, 20.062040817","Am, Am7, C, C6, Cm, Cmaj7, Em, Em7, F, Fmaj7, G","9.42730158600001, 15.278730159, 73.096417233, 6.64090702999997, 4.64399093000001, 2.182675737, 28.421224489, 0.510839002000012, 32.322176871, 11.192018142, 23.962993197",115.622952631579
"7","guster2005-06-25d1t09","A minor, Bb major, C major, C minor, C# minor, D minor, Db major, E minor, F major, G major, G minor","17.089886621, 1.48607709699999, 152.322902494, 38.638004536, 0.743038549000005, 5.20126983999998, 8.173424037, 2.22911564600003, 2.229115646, 13.374693878, 18.575963719","A, Ab7/C, Abmaj7, Am, Am6, Am7, Amaj7, B7, Bb7/D, C, C/E, C6, Cm, Cmaj7, Daug, Dm, Dm6, Dmaj7, E, Eaug, Ebmaj7, Em, Em7, F, F/C, Fmaj7, G, G/A, G/D, Gdim7, Gm, Gmaj7","1.857596372, 0.603718821000001, 1.48607709699998, 17.693605443, 4.36535147400001, 2.46131519299999, 3.11147392300002, 0.325079364999993, 3.90095237999998, 54.520453514, 1.114557823, 20.062040815, 7.430385487, 6.50158730199999, 3.575873016, 5.43346938800002, 3.76163265299999, 2.78639455700002, 0.975238094999998, 1.95047619, 2.972154195, 11.563537415, 4.36535147500001, 16.764807257, 11.377777777, 12.399455782, 13.88553288, 0.464399092999997, 0.789478457999991, 1.39319727899999, 3.11147392300001, 12.678095239",132.620813636364
"8","guster2005-11-11d1t10","(unknown), A major, A minor, B minor, C major, C# minor, D major, Eb / D# minor, F minor, F# minor, G major, G minor, G# minor","0.743038548, 26.006349207, 40.867120183, 6.68734693799999, 141.920362812, 5.94430839, 9.65950113400004, 0, 0.743038548000015, 1.48607709800001, 22.291156462, 9.65950113299999, 0.743038549000005","A, Am, Am7, Bdim7/A, Bm7, C, C/D, C#dim7/B, Cmaj7, Dm7, E6, E7, Em, Em7, F, F#/E, F6, F7, Fm6, Fmaj7, G, G/D, G6","2.925714286, 13.18893424, 15.78956916, 0.603718821000001, 2.60063492100005, 14.767891159, 54.938412699, 1.16099773299999, 4.82975056699999, 3.157913832, 30.371700681, 5.43346938800002, 3.76163265300002, 28.328344671, 2.136235827, 2.22911564599997, 15.232290249, 1.021678005, 1.904036281, 5.804988662, 23.359274374, 2.182675737, 5.24770975099999",144.806568627451
"9","guster2006-03-25d1t02","A minor, C major, C minor, F major, G major","8.173424036, 112.198820861, 49.040544217, 31.207619049, 2.229115646","A, Am, C, C/E, C#dim7/B, C6, Cmaj7, E/B, Em, Em7, Emaj7, F, F/C, Fmaj7, G, G6, G7","1.764716554, 24.659591837, 26.284988663, 3.94739229000001, 5.201269841, 52.291337868, 12.306575963, 1.34675737000001, 9.19510204000002, 2.832834467, 2.368435374, 17.414965985, 1.85759637199999, 18.715283447, 11.099138322, 5.479909298, 5.43346938800001",133.934411764706
"10","guster2006-04-21d1t03","A minor, C major, D minor, Eb / D# minor, F major, F# minor, G minor","36.40888889, 151.579863944, 0.743038549000005, 0.743038547999987, 9.659501134, 24.520272109, 5.201269841","A, Ab7/C, Adim7/G, Am, Am7, C, C6, Cmaj7, E7, Em, Em7, F, F/C, F6, Fmaj7, G, G6, Gmaj7","4.69043083899999, 2.08979591799999, 3.52943310700002, 18.250884354, 9.938140591, 43.328435375, 16.950566894, 12.260136054, 3.900952381, 14.257052153, 9.05578231200005, 35.201451248, 3.622312925, 0.743038548000001, 1.71827664399999, 24.984671202, 0.557278912000001, 9.42730158699999",130.512916666667
"11","guster2006-04-21d1t03.mk21","A major, A minor, C major, C minor, Db major, E minor, F major, G major, G minor, G# minor","11.145578231, 62.415238096, 114.427936509, 4.45823129199999, 0.743038548, 2.22911564599997, 18.575963719, 16.346848072, 0, 1.48607709700002","A, Am, Am7, C, C6, Cmaj7, E6, Em, F, Fmaj7, G","3.94739229, 10.495419502, 35.944489798, 48.483265307, 4.41179138300001, 7.56970521599999, 4.08671201800001, 17.04344671, 36.362448978, 7.894784581, 22.616235827",131.159045454545
"12","guster2006-06-19t06","A major, A minor, B major, C major, C minor, C# minor, D major, F# minor","14.117732427, 11.88861678, 1.48607709800001, 155.295056689, 35.66585034, 26.006349206, 13.374693877, 14.860770975","Abdim7/Gb, Am, Am7, B/F#, C, C/E, C/G, C#m, C#m7, C6, Cmaj7, D6, D7/F#, E7, E7/G#, Em, Em7, F, F#, F#6, F#dim7, F#m, Fmaj7, G, G7, Gm7, Gmaj7","1.34675736899999, 14.4892517, 18.0186848069999, 0.557278911999987, 65.712471655, 0.882358276999994, 0.557278912000001, 4.87619047600006, 3.34367346900001, 10.170340136, 4.597551021, 0.975238094999995, 47.322267574, 0.278639455999993, 0.743038549000005, 14.3499319740001, 6.73378684900003, 25.6348299309999, 13.653333333, 2.22911564699999, 4.040272109, 7.70902494299995, 3.34367347, 24.706031744, 0.371519274000008, 0.464399092999997, 0.325079365000001",134.424785454545
"13","guster2006-06-20-dise-t07","A major, B major, C major, C minor, C# minor, D major, D minor, F minor, G major","12.631655328, 4.45823129199999, 159.010249432, 45.325351474, 0.743038549000005, 31.207619048, 3.71519274399999, 5.94430838999997, 11.888616781","A7, Am, Am7, Amaj7, B7/D#, Bb7/D, Bbdim7/Ab, Bmaj7, C, C#, C6, Cm, Cmaj7, Dm7, E7/G#, Eb/F, Eb7/G, Edim7/D, Em, Em6, Em7, F, F6, F7, Fmaj7, G, G7/B, Gmaj7","1.671836735, 5.43346938800001, 24.427392289, 1.718276644, 1.11455782400002, 1.06811791299998, 2.97215419500003, 3.06503401399999, 65.573151925, 0.975238095000009, 1.904036281, 9.14866213200001, 7.94122448999997, 1.48607709699999, 0.278639456000008, 0.417959183000001, 1.90403628099997, 5.38702947900001, 11.656417235, 1.904036281, 19.82984127, 8.870022675, 5.24770975, 1.85759637199999, 9.47374149599997, 27.213786851, 0.603718821000001, 11.23845805",135.717541666667
"14","guster2006-06-20mix-t07","A minor, Bb major, C major, C minor, D major, E minor, G major, G minor","6.68734693900001, 0.743038549000005, 142.663401359, 42.353197279, 14.860770975, 5.94430839, 23.034195012, 5.94430838999997","Adim7/G, Am, Am7, C, C/E, C#dim7, C6, Cm6, Cmaj7, D6, Ddim7/C, Dmaj7, Ebmaj7, Em, Emaj7, F, F/C, F7, F7/A, Fmaj7, G, G7/B, Gm, Gmaj7","4.133151927, 6.45514739300001, 26.284988661, 57.771247167, 0.882358276000001, 1.16099773300002, 18.668843538, 2.92571428500003, 6.36226757499999, 0.325079364999993, 1.57895691599998, 2.972154195, 2.50775510199998, 23.962993197, 1.30031746100002, 17.275646257, 1.71827664399999, 0.603718821000001, 0.789478458000019, 5.15482993199998, 35.340770974, 4.31891156399999, 0.789478457999991, 3.39011337899998",176.281638888889
"15","guster2006-06-21.wclz.t03","A major, Ab major, Bb major, C major, C minor, D major, D minor","0.743038549000005, 7.43038548799998, 15.603809524, 193.933061225, 27.492426303, 32.693696144, 5.94430839","A, Ab, Abmaj7, Am, Am7, Amaj7, Baug, Bb6, Bbmaj7, Bmaj7, C, C#m, C6, Cmaj7, Dm7, Em, Emaj7, F, F#m, Fmaj7, G, Gmaj7","0.417959184000011, 0.603718821000001, 1.393197278, 7.66258503399997, 31.81133787, 3.25079365099998, 0.789478457999991, 0.743038549000005, 0.650158729999987, 0.789478458000019, 65.294512473, 1.06811791399997, 5.01551020499997, 15.278730158, 0.464399092999997, 19.086802721, 1.85759637200002, 33.854693874, 1.39319727899999, 4.04027210900003, 24.798911564, 1.068117914",121.035042553191
