"track","meanTempo"
"2006-03-29t03.",130.064185185185
"2007-02-23_d1t01.",135.405982352941
"2009-07-31_d1t02.",129.056787878788
"2005-05-05t14.",134.607807692308
"2005-05-11t06.",115.622952631579
"2005-06-25d1t09.",132.620813636364
"2005-11-11d1t10.",144.806568627451
"2006-03-25d1t02.",133.934411764706
"2006-04-21d1t03.mk21.",130.512916666667
"2006-04-21d1t03.",131.159045454545
"2006-06-19t06.",134.424785454545
"2006-06-20-dise-t07.",135.717541666667
"2006-06-20mix-t07.",176.281638888889
"2006-06-21.wclz.t03.",121.035042553191
"2006-06-21bm-t07.",140.433338461538
"2006-06-22.worldcafe.t03.",129.205916666667
"2006-06-22d1t01.",134.689625
"2006-06-23t05.",130.916867924528
"2006-06-30.kcrwweb.t10.",123.23919047619
"2006-07-11d2t02.",127.508826666667
"2006-07-14d1t01.",129.287035714286
"2006-07-17.akg1000.d02t02.",125.8774
"2006-08-09t03.",135.0374
"2006-08-11d1t01.",131.828510204082
"2006-08-12d1t02.",126.84547826087
"2006-08-19d1t03.",122.001333333333
"2006-09-15t02.",133.7065
"2006-09-28t02.",123.097274193548
"2006-11-15t01.",129.1772
""2007-03-02d1t02.",126.809258064516
"2007-04-14d1t01.",132.962166666667
"2007-04-18d1t01.",112.792687878788
"2007-04-19d1t01.",133.157653846154
"2007-04-20d2t08.",119.604018421053
"2007-04-21d1t02.",111.266036
"2007-04-24t21.",140.73908
"2007-07-08.d01t02.",121.219310344828
"2007-07-08t02.",124.897041666667
"2007-07-28d1t02.",120.805363636364
"2007-09-07d1t08.",137.32768
"2007-09-08d1t01.",143.911794117647
"2007-10-05t02.",160.826321428571
"2007-10-06d1t02.",121.115666666667
"2007-09-08t01.",121.121932432432
"2008-01-28d1t01.",138.062875
"2009-04-04t02.",111.427216666667
"2009-05-02d1t01.",143.994565217391
"2009-06-20d1t01.",138.349068181818
"2009-06-20t01.",130.039725
"2009-07-04t02.",108.9676
"2009-07-25_MG270_16-44T01.",133.755615384615
"2009-07-25.akg463-v3.d1t01.",155.071058823529
"2009-07-25t01.",163.920424242424
"2009-07-25t02.",139.32124
"2009-07-26t01.",124.744111538462
"2009-07-26t02.",127.82385
"2009-08-07d1t01.",139.223185185185
"2009-08-08d1t01.",117.72528
"2009-10-28d1t14.",127.708333333333
"2009-10-29d1t01.",142.59911875
"2009-10-30d1t08.",130.895090909091
"2009-10-30d1t09.",147.280137931034
"2009-10-31d1t13.",139.09128
"2009-11-06t02.",110.378156756757
"2009-11-07d1t01.",124.382882352941
"2009-11-27t12.",131.451882352941
"2009-11-28d1t01.",136.328073170732
"2009-07-25mg200t01.",115.896182758621
"2010-04-14d1t01.",136.56828125
"2010-07-31t02.",133.139405128205
"2010-08-01t01.",143.073657142857
"2010-09-12t02.",110.548416129032
"2010-10-06t06.",137.613357142857
"2010-10-27d2t03.",129.591166666667
"2010-10-29d2t02.",125.6553
"2010-10-30d1t01.",131.482
"20100414t01.",108.799276666667
"2011-01-29d2t12.",142.453429787234
"2011-02-25t04.",137.585638888889
"2011-03-21d1t01.",114.749856410256
"2011-03-21t03.",124.1296
"2011-03-31t19.",123.846086956522
"2011-04-08t23.",121.324185714286
"2011-05-02t16.",131.861088235294
"2011-05-06d1t05.",134.854588235294
"2011-05-07d2t06.",139.056914285714
"2011-06-25t02.",127.919807692308
"2011-08-02d1t01.",137.611296296296
"2011-08-04d1t02.",150.79048
"2011-08-06d1t02.",138.9998475
"2011-08-09d1t01.",120.774359459459
"2011-08-12d1t06.",124.032141860465
"2011-09-22d1t07.",126.872523809524
"2011-11-26d1t07.",126.497958333333
"2011-02-05t03.",136.019052631579
"2012-04-05-ca14-flac16-t-16.",118.717454545455
"2012-04-21d2t04.",143.907777777778
"2013-07-23t01.",130.180967741935
"2013-12-01d1t22.",130.230432432432
